polarity,text
1,"Hey, guys, let's go shopping for my birthday. I'm going to Uniqlo. Uniqlo is my favorite place because the Equality is so, so good, and the designs are minimal. I feel so comfortable wearing them. I normally buy dressed only for special occasions because I hate to do shopping. It's so confusing and I want everything in every color. And it's so hard to decide. Today I already choose 3 dress. So let's try. So before we try, we need to put this fabric back so our makeup won't spoil the dress. And first option, it's this skirt. It fits so well, and it got pockets to get along with it. I found some cute crop tops. My sister told me to try something girly this time, so I'm just going for skirts and gum. Second option is discount. I know it's same color, but it's super comfy and also got pockets. Last option. This turquoise. I love everything. I love all 3. I'm so confused. Okay, anyway. And this is the discount basket. And sometime you can find really good stuff with cheap rice. Okay, it's time to check out. We just have to put our dress in the box and it will automatically calculate the price. I really love the process. I was so tired shopping, so I need a tea break. And I decided to go to my favorite Bur Misty shop. They've got the best Cylon tea. Okay, that's all. Thanks for watching. Bye. Bye."
1,so if you're thinking about wearing your hoochie daddy shorts over the summer just like i am then you definitely need to check out unique look for their wide selection of socks they have every color that you can possibly think of with even better quality and even better prices twelve dollars for four how can you beat that
0,"With me to create an affordable outfit at Uniqlo. As soon as I stepped in, they were buzzing on me. Tell me how to speed the headquarters to record in this shop. Crazy. So here's a fair chat together. I've tried the SK using my Instagram story. I was so gassed to find the viral bag and the whole fit was 155 rate the fit one through 10 and let me know how I did"
0,Build an outfit with me. Ice on my neck doesn't count.
1,"How to get that Uniqlo aesthetic 1:01. Hey, friends, it's Ivy here, and if you didn't already know,. I freaking love Uniqlo. I just have the best basics like this erism T. And I'm not really a jeans girly much these days. I like wearing trousers. These are not from Uniqlo, but I'm pretty sure they have something very similar to this. Stealing this corduroy button down from my husband because he's just as obsessed with Uniqlo as I am. I swear, his whole wardrobe is literally Uniqlo. It's a little bit big on me, so I roll it up, of course. I really like this. Gives that Uniqlo kind of vibe. Yet I spend the next 10 minutes or so tucking in my shirt, judging it out. Got my AirPods from this cool girl. Effortless aesthetic in a tote bag, of course. Wish they had that tote bag making thing in Australia here in Uniqlo, but they don't. Here's the final look. Let me know if you want me to do another."
1,"hey, friends. so I love Uniqlo. like, I really, really love Uniqlo. and I've built quite a wardrobe from it. so I thought I would do my top 5 finds that every girl should have from Uniqlo winter edition. I firstly have this thermal top. it is the 29 91 I have about 6 of these here is another must have find this is a thermal turtleneck. it is 19 90 each. I have this in about 3 different colors. it is again the perfect layering piece. the 3rd piece I have are these thermal fluffy tights. these are just all thermals right now. these pieces fit so perfectly underneath a pair of jeans. no strong cold night wind can cut through these jeans. the 4th one that I have is this puffer. this is actually my husband's one and it is quite a bit more on the expensive side. but I genuinely think that it is such a great fit and the right amount of puffiness and warmth. I just realized I did 4 pieces, not 5. so let me know if you guys want a summer edition as well."
1,is my shopping haul as a minimalist so first i got sleeping mask i have two of these but i don't wash them often enough and i don't want any eye infection so i got this really cute one for not much money but it's hopefully should last me a while then i got this brawler um i could also use it as a shirt if i'm feeling kind of but wild i guess um i didn't need a bras for like four years but haven't found any i liked and i've also been in need of some cute tops so i kind of combine them because i don't have much space and it's more practical so this is another one i got the sports bra which i could also double as a crop top i got another one in this blue color they're both pretty cheap from target and then i got two tops haha one in white and one in black and these are from unicorn and their little crop t shirts cause i was in need of these and so this is the black one it's so everything i got it absolutely love and make sure there are prices that were within my budget and there were things that i've actually been needing for a long time so that is my minimalist hall
1,"shop with me at Uniqlo. first of all, don't forget to check out their collaboration t shirts with artists like Andy Warhol. this pair of joggers are so, so comfy and has fuzzies inside. love the Disney collection as well. this beautiful periwinkle colored sweatshirt is so gorgeous. love the embroidered detail. and this is a very elegant office friendly look with the collar cardigan paired with these smart pants that feel so comfortable and really high quality. this shopper bag. gives me a Hermes vibe. really high quality, adjustable and can fit all of your essentials. love the color. if you want a cozy cardigan. definitely check out Uniqlo. this is such gorgeous silhouette and looks so cozy. this is a thinner, more casual version of the cardigan. I love the drape. Uniqlo has really quality blazer as well. usually a wool or wool blend. love the button detail. then I tried on this satin puffer coat so comfortable and super super lightweight. love the silhouette. this next coat gives me a little bit of totem vibes. it's really cool in terms of the shape. it centers you in on the waist and I love the flare effect. you can also button it all the way up or pair it with the famous Uniqlo moon back. that comes in so many colors. I love these neutral tones. it fits 1t super lightweight, and these are the popular colors in comparison."
0,Your clothes while literally wearing an all Uniqlo fit.
1,"Right, I'm just heading off to a Uniqlo event. I thought I quickly show you what I'm wearing. It is so hot and muggy in London at the moment, but I thought I had to wear my Uniqlo trousers. These are my absolute favourite white like trousers that I've been able to find. I find that they just fit really well on the waist. Also, I'm a short girl and I feel like lots of trousers really drag on the floor for me, whereas these are kind of perfect length. And then I'm just wearing a linen shirt from Arquette. Can't receive it. My New Balance 5 50s. My bag is from Polen and then my sunnies are from key. So, yeah, that's my little outfit of the day."
1,"Come with me to build a fall outfit at Uniqlo. A lot of nice outerwear came out in the fall winter collection, and so let's try on and build an outfit around this pile lined jacket. I want to keep this outfit in a fall color tone. The first thing that caught my eye was this brown cable knit sweater. I also grabbed this white Uniqlo U tee to try on the jacket with different bases. The pants I went with are these off-white low rise baggy jeans. For men's pants, I'm usually a 33 or 34 waist, but for these, even a size 30 or 31 fits a little bit loose on me, so keep that in mind. This is the whole outfit using fall brown tones. I like the fit of the jacket and how the arm sleeves slightly flare out, but I'm not a huge fan of the size of the collar. I switched out the sweater for the T-shirt, and to be honest, I think I'm feeling this one much better. Let me know what you guys think and if this was helpful, follow for more."
1,"List of basics for a man's closet part one. That's right I'm returning the series and the list is thought of as if you have nothing in your closet, as if you were going to start from scratch,. You may already have several of these things but still check it out. First on the list is a Lisa t-shirt in black and white, beige is also perfect, some cream gray color but with a black and white base. Now I know that not everyone looks like the examples I'm putting right now, but that does not mean that I hope everyone looks like that,. These are pieces that should fit your body type. Some brands that I can recommend you to check are these from here, but obviously it doesn't mean they have to be from there, they are just recommendations. Second on the list is a leather jacket,. I repeat leather, not vinyl. Vinyl is much cheaper than leather and you can usually get it in h and m,. Zara,. Forever twenty one, any Fast fashion place, but vinyl lasts much less. Obviously here comes the price-quality ratio, but I recommend that since these are the foundations of your outfits you should invest so that you can wear them repeatedly and not run out. Now Obviously leather is more expensive. A hack I can give you for this is to buy it second hand, there are a lot of second hand stores on. Instagram that I can put you right now, you can go to your trusted tiis in your city,. I swear you will find it there, but obviously when it is second hand you have to look for it but it is worth it. Now how many styles of leather jackets? This one is a more vintage aviator style, probably their' closets have them and can be stolen,. This one for example is a much more modern and simple style, it is a basic total. This is a classic rock and roll jacket, obviously the vibe changes depending on the style you choose but you will look good. And the third recommendation I'm going to give you in this part is a jacket and here the tip I'm going to give you is not to buy it super tight, we want it a little looser because we want to make layers, so buy it thinking that there will be more layers under this jacket. It is not in oversize cut as it reaches the hip but if what you are looking for is something more oversize then it can end up below the hip. It's still going to look good. Simply the vibe changes. A very good brand of is Levi's, but it's obviously a bit more expensive. So again I leave you the tip to make it second hand. That's how I bought my jacket. These are some second-hand Instagram accounts that are trusted. Check it out. This is the art of dress, the art of personal style. And art takes time and effort, but it's always worth it. See you in part two."
1,"Hello friend. I just went shopping yesterday so we just unboxed as well try on. T-shirt that Uniqlo collaborated with studio ghibli. I love seeing the details in this pocket. Look at the writing is also funny. I mix and match with loose jeans. Continue to wear the 2nd product cardigan later and the 4th square hijab. This is a cardigan and it's like a smooth nude. Like this is the smoothest nude that I found at Uniqlo yesterday I bought a size XL because I don't want one like too made. I mix and match the white pants from echinos. Then I wear the embroidered pashmina. It's like a plain shirt and pants. It's funny that next friend here has an inner that I often use. I already have uh 4 and this means the 5th. Especially if for example the clothes are like here is a bit open. You don't have to fix it for me. It's really important because he's a turtle neck. Yes,. I bought the turtle neck. Last time there was studio ghibli again. Here I bought the green color because I really like the green color and the front picture is like this studio ghibli writing and the back is totoro. Why is that pororo? I am a couple with this Totoro. I mix and match the first pair of jeans. Keep wearing pashmina shirts. You sound like a tomboy. Friend? Apa?"
1,"Come with me on a London staycation with Uniqlo! So headed into London around two PM before checking into the Treehouse Hotel which is one of my faves and dropping my bags here before heading straight to the Uniqlo store on. Oxford Circus to check out their fallen winter issue which was just stunning. I cannot wait to show you guys more of that! Then we span this whale which basically the idea of this is whatever it lands on is the challenge to go and hunt down an outfit around this. So me and Bronte both got vivid colour for this which was super exciting cause you guys and girls know I love a bit of colour. So grabbed our bags and headed into store checking out the new cord crossbody bags which I am obsessed with. How stunning are they? And the girls tried on some fluffy fleeces. There was lots of amazing winter pieces and the new bandeau that has like removable bra in built pads and also straps and adjustable straps and I am obsessed with their tank top versions of this so I was very excited about the Bando version. Then I tried on this gorgeous coat that felt like foam swayed on the inside like so soft and I loved. And then I tried on this tan coat and hat which comes in multiple different colours as well. Then we headed straight to the training rooms. I tried on this loungewear set which was Super soft. Again, comes in multiple colours. Then this peachy net and this purple lilac one. These come in around eight to 10 different colours and I just fell in love. Now this is the start of the show. These jeans. So these come in 6 different colours, different shapes and lengths, and I am obsessed. I, I literally gonna be wearing these on repeat. They are gorgeous. And then I tried on the lilac linen blend trousers. I have these in white and love them. And then I went and tried on the jeans and some other sizes and a few of the knits and some other sizes, but ended up resulting in the lilac cause I loved it so much. And then we chose our pieces and actually went and tried on some hats. I mean, I cannot pull off a Berry. I wish I could. Before getting little embroidered details on some bags so you can get this done in store, which is so fun. You can get on socks, teas, bags. Bronte got this little heart and Chessie also got one, but I didn't get a video of that. Before we bought a few extra little. It's for autumn winter. And also this is Jesse giving me Ray's new go so that I don't get drenched, basically. But we managed to miss the rain on our way to the hotel before changing for a beautiful dinner at Medina Madeira. I always get that wrong. And we Had some cocktails and canopies before heading into the restaurant. The food here is 10 out of 10. I came here for my birthday two years ago and absolutely loved it. We had some tacos and sharing, like, flatbreads, and we got so lucky with the sunset. Look at that. How stunning the dessert was. Also 10 out of 10. And then we got some sweets to head back to our room. And the views here are just gorgeous. I had an amazing little shower, and now I'm in bed. So I will see you guys tomorrow. Lots of love. Bye."
0,"Three outfits from fall using pieces from unicorn. So for this first outfit,. I wanted to keep it more relaxed and casual. So starting off with the pants, we have the wide pleated trousers in the gray color, and I normally don't wear gray trousers, so I wanted to style it pretty simple with this coach jacket into a bag, and my Margiela gats so often. Number two is definitely more straightforward. We have the wool varsity jacket over the just a black shirt, wide parachute trousers, which is covering my Burberry vans graph No. 3. This is definitely an outfit for when you're in a rush and you just don't have that much time to get ready. We have the black zip up jacket, and then he just simple black T-shirt. Josh and bag, the white denim, and then the a cold wall converse."
1,"Nicola is having a moment right now because everything they have on their site is so good. Never wear long skirts, but this one was so comfortable and so flattering. On sale for 8. Black vest had a nice weight, and it felt like it was made out of good material. These trousers are literally my dream pants. This style is so flattering. You can dress it up or down. It's the perfect color and length, especially for someone short like me. It's always a struggle to find the pants that hit you in the right spots. And lastly, this top in leggings, guys, the airism softler leggings is where it's at. I've tried so many different brands, but I've never felt a material like this one. Always loved Uniqlo, but this season is the best it's ever been."
1,"I've come to 1 place to pick up some gifts for Christmas. And now I show you my favorites. You have like this section of thermal T-shirts, they are super thin and warm for 14.90. And you have in 1 lot of colors. You also have these coats here, this little sheepskin coat, which is my favorite, and cost 69 and now I'm wearing 49. And for me these are the best white t-shirts, which are these from here, for 14.90. And look at this section, it's great. You have this whole wall of jackets like this in all these colors for 34.90. You also have these raincoats that I love, they are like that picture, super quilts and 109. And you also have all these sweaters that I showed them once, that the other time I picked up this one that is super soft, for 34.90 too. And you have this trend here that cost 129, which you also have in Black. The black trench coat would look like this in size x s. I think I'm going to take this one. And all this you see here are feathers like this or cute little vests in all these colors and that take up very little, for 69.90. And you have 1 section where there are 1 pile of beanies, gloves and matching scarves. Look, there are all these with gloves and scarves. And these are the fleeces I picked up the other time I picked up the one Fran is wearing, since you have it in many more colors, for 34. And Fran has learned this one, which she loves, in blue, which is 129. And this bag here had gone superviral,. I got it. And there are all these colors that I love this one, for 14. And in the Chico part I just found 2 bombers that I love, it's this one here and this one,. I mean, they are the same ones, this one is in blue and this one in gray. This is the men's x s and it looks oversized like this, but I like the butt here. And for Chico there is this overshirt that is also available in gray, reduced from 69 to 49. I find here my little things and in another video I show you what I got."
0,"But this was years ago. The cat is definitely judging me right now. This is crooked. How's it going? Thought I would do a 'get ready with me', so that's what I'm gonna do. These are the pleated shorts from Uniqlo. They said they had more in stock, like on clearance, but like all the sizes were sold out so. Handy vest from HM. We've got this really funky camera patterned shirt, camp collar shirt from Farfield UK. Had this thing for years, and you know, I just realized they look so good together. But I'm trying not to just wear these pants over and over again. Like I'm gonna wear these pants over and over again but like, for this video's sake, gonna try something new. Never watch the movie The Lovely Bones? I've been watching little clips of it on TikTok, and I've already seen the movie, and holy crap, I'm greatly troubled by that movie. I'm retraumatized. I didn't realize how terrifying that video was. I don't know, younger me didn't really get it because uh, Stanley Tucci holy crap. I follow him on TikTok, and now I'm just terrified of him again. So I'm gonna have to watch Devil Wears Prada about 15 times to quell that fear that I have of him. So yeah, that's the fit. It's pretty basic. I'm trying to kind of experiment with different pieces and kinda mixing and matching. Of course, there's cat hair because cats. Um but yeah, so I'm not a huge fan of this color combo, but I gotta give it a shot and try to expand just a little bit. Thanks so much for watching. Have a great day and follow for more. We're gonna go with these Cole Haans because I haven't worn them in a while and I don't mind them, especially for the casual things and errands that I'm gonna run. So you like these, Macy, okay?"
1,"Okay, I'm wearing this green Roaneck from Ralph Lauren. It keeps you really, really warm. Please relax. Feet. Greyish black denim pants from cores. And I'm going to wear this cool green boots. I got from Coles. I said no longer go. Prepare to be sick of me wearing these boots, because it is perfect for this time of the year. Here they are. I know, right? So good. I'm going to complete the look with this cool quilted jacket from Uniqlo. Yes! This is so cozy. You know when you wear something that you like so much and you just feel so good? This is so good. Love it. This is the look. Thank you so much for watching. Let me know what you think in the comment section. Like, comment and share. I will see you soon. Have a wonderful time."
1,this is a nice shirt. I really love the boxy fit on this Arizona tea super nice and lastly here's the moon bags super cool. I'll give you a haul next video peace where have I been all my life what's up y'all this is Uzi let's see what we can find for reference I'm 5 1000 95 Bobby Muscle 205 it's crazy how I'm really starting to dress like my dad here it is in black because these pleated pants are so nice the sweater was nice. I just wish it could be a little cropped could have definitely gone up a size higher. I like this jacket here's a little sneak peek of some of the things I bought and you'll know how I feel about brown this jacket was nice. I just couldn't justify paying the price for it. I went to Uniqlo for the first time in Chicago over the weekend this vest was super nice as well
1,"Hi guys! Come with me on a little shopping day! First up I got my favorite milk tea and then headed over to Dellamo Mall in Torrance. First up was Urban Outfitters. I wanted to see their Bagu stock but they didn't really have much. Second stop was my fave Uniqlo. They had a cute Snoopy collection and a lot of the new colors for the bags. I went specifically for this dress and I'm glad I found it because I'm so obsessed and I didn't end up buying it. I also bought a couple basic tees, just a black and white one. 3rd stop was H and M. This one's huge cause it's 2 stories. Didn't really find anything here. My final stop was typo, which is one of my favorite stationary stores. Every time I come here I wanna spend so much because they have the cutest notebooks, totes, bags, literally everything. So I ended up buying this laptop case and this multi zipper pen case. And that, my friends, is a successful day of shopping."
1,"Hi, guys. We have a huge, like, whole. Yes. Venus, Unico, and Daiso. Look how big this Daiso bag is. Yeah. Oh, my boyfriend thought this because he. To carry everything. Okay, we're gonna start with the Daiso stuff, right? Because I got a few things first. Is this. Oh, my God. I'm so freaking excited about it. It is the one I use, right? And I put a lot of stuff in here, and then it cracked. Like, there's a freaking crack here. So I was looking for it, and you couldn't find it. But then I found one more of these, and I also found this. So I bought the melody one is so cute. It's pink. That was the best find from Daiso, by the way. I got all this for my damn design, so. And I got this plant. It's so cute. Then I got this. A mini vase. I think I could put, like, some, like, dried flowers in it or something. And I really like the blue eyes. A very nice blue color. Mother freaking way I spend 30. I also got this vase, you know, so cute. I can put more dry flowers in here. And then I got this photo frame. I was debating whether I should get, like, the gray or the turquoise, but I decided to get the gray one. For organizer. I'm just gonna put my skincare in here. Uh, we got one more organizer. I'm gonna put, like,. My perfume on here. And we got this, uh, I'm gonna put my face wash and my 4 o device here. Yeah. And then I got these two. Is to write letters. So we got a blue one, and then we got a pink one. So freaking cute. Expensive lab, 2. But it was so cute,. I couldn't read it. Then we got these drawers. I've never seen this at Daiso before. Right. So it's 2 each, and it's stackable, so, like, be one for. Right. And then. Wait, let me look at drawers. It's only 200 each. Wasn't even the followers one. I'm amazed by this. I have no idea what I'm gonna put inside yet, but I will find something to put inside, because, honestly,. I couldn't miss it. And I really never seen this nice before, so I'm very excited about it. Anyways, then I went to value store, and then I got double sided tape because I ran out double sided tape. Then I also got this. Is, like, 1 from very store. Is Hershey's Kisses special dark chocolate and almonds. Oh, my God. I didn't know. What the heck. Like, Hershey Kisses with almonds side. And I love Hershey. Like, dark chocolate with almonds. It's one of my favorite chocolates to eat ever. Next is my venusa. So in the first bag, we have a new shaver, because I cracked my shaver, so I had to buy a new one. And now I got this. Body scrub is the fire one. The. This is 2, the cheapest one they had that. Never tried it before. Don't know if it's nice, but I just bought it cause it's cheap. Oh, in my other bed, we have dry shampoo. This is my favorite scent is the floral one. I got 3 because I realized I was only left with one at home, and I just opened that one, so I got three more because I love my dress. Okay. And then, wait, my boyfriend went to Nikla. He got some stuff, so I'm gonna show you what he got, though. Okay? He got three of the, like, normal men's tank top in size, and he got white, he got black, and then he got a gray one. Plus, I think he's what wanted aside the last time we went through because you're eating outside in the, like, the movie theater. And then I'm gonna spill a bit on him and it stained. And then he got a white Arizona because some reason he doesn't own Arizona. Then I got this cute pajama set from 68. I love it. And these are the shots. This is my thought one already. It's also."
1,"You guys already know my obsession with Ralph Lauren models. Well, yesterday Ralph Lauren came back to the runway at New York Fashion Week. My invite probably got lost in the mail, but this is what I would have worn if I went. Starting with the most basic but perfect neutrals, both are from the Ralph Lauren Purple Label collection. I have never worn anything from the purple collection, but the tailoring is just amazing. Also love that you can make the size smaller with these little things. It is very warm in New York, but nothing like a cashmere crew neck from Ralph Lauren. Let's tuck it in. When I tell you I've dreamt of wearing the suede Ralph Lauren shirt for so many years... well, dreams do come true. I present to you my dream, this purple blue jean suede shirt that I got on Saks.com, just like the Pinterest inspiration. I'm thinking, let's do a tuck into the pants. What the model has is basically the three buttons just closed, and then when it looks like this, we gonna come and tuck in the shirt into the pants. By the way, I don't think I've ever felt a more smooth and bendable leather, which really feels like a real shirt and also really reminds me of Tuscany because of the leather scent. While I don't have the Purple Label boots, this outfit screams the need for brown boots. These ones are literally the dupe for the Saint Laurent, they're from Ranch Roads and they're such amazing quality. I really feel like this ties in the outfit together. I really think let's keep the jewelry minimal, Infinity link bracelet by Maison Spoiled, and my snake ring. Tom Ford sunglasses, by the way, everything you see here is literally from Saks. They really have the best Ralph Lauren selection. And this, ladies and gentlemen, would have been my final look if I was going to the show. Ralph Lauren, please hire me"
1,"Spend a productive day in my life with me this morning, as we assume, for I made pumpkin pancakes and then I got ready to go out to Costa, where I spent 3 hours editing my YouTube video. Later on today,. I went TK Maxx. They have such a good range this year, and I was really impressed with all the different variety of candles that they have this year."
1,"Back by popular demand, today we're recreating this Polo Ralph Lauren bear outfit, starting simple with these oversized cream pants from the Frankie Shop. They have the perfect pleats, just like the bear. No secret for the shirt, it is the Polo Ralph Lauren Classic white shirt. Let's tuck that in. Okay, but why would I literally wear this out? Don't hate me, but my most similar tie is the same Tom Ford striped black tie. Working as an influencer means I've never purchased good ties, but let's collectively imagine that there's a red stripe, red sweater for the wrap-around. As a kid, I would always wear my sweaters like this, literally on point. My most similar jacket to this Ralph Lauren one is this Saint Laurent Velvet Blue, definitely a little more suited, but I think it works well. As a compromise to the gold embroidery on his jacket, I present to you the most gorgeous yellow diamond brooch that will be the perfect bougie replacement for that gold embroidery, from the brand Maison Spoiled. I mean, it's pretty similar. I know the bear has brown loafers, but I have the most incredible Polo Ralph Lauren loafers with the thing from his jacket, but we gotta respect the outfits, so Polo Ralph Lauren loafers. And here is the complete outfit. What do we think? Did I nail it or what? Kisses."
1,"Okay, y'all come with me to the farm. We're about to take some holiday photos. My theme this year was Ralph Lauren Christmas ad, and we nailed it. Look at our outfits. We're in the Ralph Lauren signature Christmas plaid, and I am in heaven. We're on a black owned farm taking pictures with the horses, giving our best smiles, looking phenomenal even though it was freezing outside. Um, my hair, I got box braids, not loose box braids, for these photos, and the color actually matches. Match the horse's mane. Isn't that nice? It was a beautiful day. The sky was so blue, and I lived out my dreams taking photos with my family. Thank you so much, Latro."
-1,"Let's get dressed for a fancy dinner tonight. I'm basing my outfit off of these heels also. They're from BCBG. Like who remembers that? Thinking about wearing this Ralph Lauren,. I think I'm gonna wear a navy skirt with this. My boyfriend's going in a white and navy suit. I don't think I like this at all. It just makes me look bigger. I definitely prefer a blue up over white. Everything that I'm wearing just feels wrong right now. Honestly, don't know how I feel about this school uniform. I don't know. Okay, so I went to the initial look. I'll be wearing my Ralph Lauren, a trend coat with this look will stay on theme with my coach handbag in this color to match the heels and T-shirt. That's what I'm wearing tonight."
