text,polarity
Primark thermal tops giving skims dupe #primarkfinds#primarkthermaltop#fyp#foryou#autumn#thermaltop#primark#haul#tryon#skimsdupe#winterbasic#longsleevedtop#tops#fashioninspo#inspo#winter#fashiontok,0.0
"#greenscreen literally my LEAST favorite company. Child labor, theft, overconsumption, lack of sustainability as a whole- HORRIBLE company. #shein #gwenethpaltrow #iwouldntwishthatonmyworstenemy #sustainability #saveearth #boycottshein",-1.0
i feel like it’d be fun #fyp #styleinspo #definejacket #lululemon ,1.0
Whoever designed this manquine needs sacking  #primark #primarkfail #fashionfail #fyp ,-1.0
i have another package coming next week  #shein #clothes ,1.0
i love horses  #foryou #foryoupage #pinterest #pinterestaesthetic #pinterestinspo #aesthetic #itgirl #itgirlaesthetic #horse #horses #hermes #porsche #poloralphlauren #ralphlauren #mustang #ferrari #black #darkfeed #darkfeedaesthetic ,1.0
PLT/Molly-Mae done me dirty #fyp #prettylittlething #scam #plt #foryoupage #viral,-1.0
The best £6 you’ll ever spend!! #primark #primarkek #seamfreesets ,1.0
Keeping bump cozy all winter❄️ #cozylegging #primark #winter #chlothing #fyp #viral #pregnantlife #newbaby #teenmum #fyp #pregnancy #furleggings ,1.0
This olive green is my colour  #grwm #midsizegrwm #plisseset #plt #prettylittlething #birkenstockboston #bostonclogoutfit #bostonclogtok #olivegreen #uniqlobag ,1.0
"I thought that ive seen worse.. guess not  @zara #fyp #voorjou #trendingsong #trendingsound #netherlands #zara #zarahaul #zaracodes #zarafail #fashion #whattowear #springcollection #spring zara new collection, zara spring collection, zara shopping haul, zara march, zara february ",-1.0
Ok but this is actually amazing  who knew you could make this with a #primark bag?! @queenlightx  #upcycling #homemade #mothersday #theskills,1.0
Why do I looked like the hamburglar in this Zara sweater? #doppleganger #hamburglar #zaratryon #zaratryons #zarafail #zaraspring #zaraspring2022 #fashionfail #casuallook #casualstyle,-1.0
I know her pocket are packing #plt #naomicampbell #prettylittlething #fastfashion #naomi ,0.0
"#duet with @maggie I have so many negative emotions and thoughts aimed at @SHEIN . Yes you have my money from these purchases, but never again. I  can only hope people learn so a company like you never exists moving forward. #boycottshein #shutdownshein ",-1.0
zara haul FAIL #zarahaul #zaranewin #zaraunboxing #fastfashion #zarafail #giletzara ,-1.0
who approved this?:/ #zarafail #zaramakeup #zaraeyeliner #eyelinerreview #liquideyeliner,-1.0
buying more bikinis im too insecure to wear  get it i guess #fyp #shein #bathingsuit #clothes #clothinghaul #ShowerWithMoxie #EnvisionGreatness,-1.0
Don’t buy if you have big boobies  #sheinhaul2021 #sheinfail #sheindresshaul #haulshein #sunmerdress #sheinsummerhaul #amazonfavorites2021,-1.0
"Another day, another way Shein proves that ultra fast fashion shouldn’t be the future #sheinhaul #payyourworkers #boycottshein #StemDrop001 #itohanhey #greenscreen #responsiblefashion #consciousconsumerism #fastfashionshouldend #fastfashionsucks #sustainablebaddie #ethicalcontent ",-1.0
New in picks from @prettylittlething   #plt #prettylittlething #plthaul #holidayhaul #holidayclothes #holidayoutfits #summeroutfits #haul #prettylittlethinghaul ,0.0
"UNIQLO, how good is their leather? #uniqlo #belts #fashionreview #leather #leathertok #leathertiktok #fashion #fashiontok #mensfashion #fashionhacks #menstyletips #shoppingtips ",0.0
Stunning #foryou #foryoupage #primark #primarkbeauty #viral #trending #beauty #beauty #makeup #fyp #bronze #bronzedrops #bronzingdrops ,1.0
Reply to @tlc0517 We made the first Bathing Suit Bucket Hats♻️ #fashion #summertime #upcycle #ralphlauren,0.0
This is how you do that trend right? @benandliamnova ! Miri thinks she nailed it! #dolphinmarineconservationpark #fyp #seal #flipper #shein,1.0
Penneys Seamless >> #fyp #foryoupage #viral #xyzbca #trending #penneys #primark #shopping #haul #seamless #summer2024 #summer ,1.0
based on a true story #lululemon #pov #shopping #employee #lululemonemployee #meangirls,0.0
Like what? #fyp #lululemon #foryou ,0.0
@prettylittlething dress  #prettylittlething #plt #biglatto #sogood,0.0
@SHEIN where am I supposed to wear this? #sheinfail #outfitfail #comedy #shein,-1.0
 ZARA DO BETTER! THIS TREATMENT IS NOT RIGHT! #zara #profiling #fyp #foryoupage #securityguard #aggressivesecurityguard #zarashopping,-1.0
Never ever again  #thriftinghumor #boycottshein ,-1.0
send help x #shein #sheinhaul #sheinfail #fashion #helpme #uk #alt #fyp,-1.0
Stop buying from shein. #boycottshein #shein #is #bad #stopbuying #fastfashionsucks #fyp #helpearth #helpchildren #helpwomen #fyp #boycott,-1.0
Our Missing Frank Ocean Tees are dropping soon. Follow our instagram for more information #frankocean #blond #teeshirt #clothingbrand #screenprinting #uniqlo ,0.0
Don’t hate me for the last one  #thrift #thrifting #thriftshop #vintage #mensfashion #womensfashion #fashion #needforbreed #ralphlauren ,0.0
THEY FINALLY BROUGHT IT TO MY UNIQLO #fypシ #foryou  #jujutsukaisen #jjk #anime #animeapparel #uniqlo #uniqloxjujutsukaisen #animemerch #weeb,1.0
Let’s go get a few more  gifts + party supplies to decorate everything tonight! Love SURPRISING my babies  #birthdaygirl #tweensoftiktok #lululemon #birthdaysurprise #birthdaysetup #browngirl #browntiktok #myfamily #momsover30 #momsbelike ,1.0
5 days of wedding guest inspo  @prettylittlething dress: CNF0968 #prettylittlething #weddingguestinspo #weddingguestdress #justgirlythings ,1.0
Is the Uniqlo puffer the best winter jacket?!  #fashiontiktok #streetwear #winterfashion #uniqlo ,1.0
Pls tell me u get it  #foryou #fyp #rorygilmore #gilmoregirlstiktok #gilmoregirls #lululemon #lululemonlegging ,0.0
#collage avec @Lindsay Borow Well… This one lives rent free in my head  #zara #fail #badidea #fashionfauxpas #zarahaul #fashionmistake #oops ,1.0
buzzing #primark #matchingsets #fyp,1.0
Try on Zara summer dresses 2022 #zara #dresses #summerdresses #fashion #outfit,0.0
Obviously I had to try it on! #newinprimark #primarkfinds #zaradupe #shopwithme #partyseason #fashiontiktok #primarkhaul #primarkuk #primark #tryon #silvertop ,1.0
Had this in my drafts from a few days ago and need your opinions (unless they’re mean) #shein #sheinhaul #wedding  #greenscreen,0.0
comment down below @prettylittlething #prettylittlething  #whosestyleiswhose #goviral #plt #styleswap ,0.0
♡⁠(⁠˃͈⁠ ⁠દ⁠ ⁠˂͈⁠ ⁠༶⁠ ⁠)   #shein #viral #sheineid #foryou #sheinfinds #outfit #outfitinspo #coquette #y2k #sheinfindsforyou #sheintok #sheinforall #sheinmusthaves #clothing #dontflop #tiktok #tops #shein ,1.0
Most expensive poop bag holder in the game  #dogsoftiktok #bernesemountaindog #puppy #puppylove #puppytiktok #puppydog #puppycheck #lululemon #backpack #park #dog #dogs #walk,-1.0
"Not today satan, not today  RIP #ootd #fitcheck #lululemon #rip #nottodaysatan #fotd #struggleisreal ",-1.0
@ZARA please explain this?? #zara #zarahaul #zaratryonhaul #zarafail #zarapants,-1.0
HOW DID I NOT KNOW ABOUT THIS?!? this is my petition for every website to have this feature  #zara #fyp #foryou,1.0
scubas r so comfy this is my daily fit also spot the difference between first two ⁉️ #scubas #lulu #lululemon #lulufit #preppy #preppyfits ,1.0
Gift guide for men as requested! ‍ Spread love or treat yourself  all in b10 #mengifts #menfragrances #mensfashion #menaccessories #mengift #giftideas #giftguide #giftsforhim #cleanboyaesthetic #presentideas #boyfriendgifts #summerlooks #giftsforher #boyfriendskincare #roomdecor #giftsforboyfriend #giftsforhusband #menscologne #desksetup #lelabo #uniqlo #newbalance #tomford ,1.0
The viral primark top is just a big fail for me  #primarktop #primarkfail #primarkfinds #primark #primarkparty ,-1.0
Tutorials on my page⚡️ #foryou #haul #NightDoneRight #fyp #shopping #free #foryoupage #lululemon #brandymelville #preppy #rich #summer #preppyinspo,0.0
The dresses I found on the websites of FINESSE and SHEIN #SHEIN  #FINESSE  #dress  #outfit  #dresses ,0.0
SEND HELP #greenscreen #greenscreenvideo #zara #zarafail ,-1.0
So trumatic #JDSummerDrip #foryoupage #foryou #primark #fypシ #viral #fyp,-1.0
outfit and glasses from @prettylittlething  this set fit like a glove  #fyp#prettylittlething#grwm#outfitinspo #outfit ,1.0
checkout this large capacity and waterproof Nylon Dumpling Bag for unisex !  #fyp #fypシ #fypage #fypシ゚viral #fypdongggggggg #bag #dumplingbag #nylon #nylonbag #nylondumplingbag #waterproofbag #waterproof #unisex #unisexbag #everydaybag #largebag #uniqlo #uniqlodumplingbag #uniqlobag #trendybag #trendingbag #tiktokbag #cheapbag #affordablebag #qualitybag #tiktokfinds #tiktokbudols #tiktokbudol #tiktokshop #tiktokshopph #tiktokph #ph #phviral #fashion #tiktokfashion #koreanbag #koreanstyle #koreanfashion #fashionstyle #koreanfashionstyle #koreantiktok #OOTD #outfitideas #outfitinspo #casualoutfit #casualbag #everydaybag #schoolbag #collegebag #aesthetic #aestheticfashion #unisexfashion #womenbag #menbags #womensbags  #aestheticbag #nudebag #affiliate #checkout #yellowbasket #budol #budolfinds #fashionbudolph #bagbudolph #budolfindsph #foryou #foryoupage #foryourpage #foryoupageofficiall ,1.0
Help what do i do #fypシ #shein #fyp #sheinhaul ,-1.0
pretty basic but defintiely essential #fashionneeds #wonttegretbuying #fashion #needs #fyp #viral #adidassamba #jorts #uniqlo #trackpants #fleece ,1.0
Who else is waiting for the price drop #uniqlo,0.0
Reply to @eva_lynch1  agree the quality is decent but the ethical cost of #zara is too high for me so i #boycott #fastfashion,-1.0
NOT FOR SALE. THIS IS NOT REAL #frankocean #blond #channelorange #clothing #lego #singaporefashion #uniqlo ,0.0
My excitement died right away  #zara #zaraboots #bootslover #zarafail #wrongsize #icried #brokenheart,-1.0
My knees needed a break from skinny jeans anyway… #cargopants #cargotrend #foryou #fyp #zara #zarafail #styletips #pink #theonewithallthepink ,-1.0
Uniqlo never miss #fyp #fypシ #newpickup #uniqlo #outfit ,1.0
Happy shopping lady! #MAKEYOURMOVE #ForYou #Lululemon #AmazonFinds #amazonfashion2021,1.0
More like I made him one #ralphlauren #ralphlaurenmen #dutchguy #poloralphlauren #ralphlaurenaesthetic #ralphlaurenboyfriend #ralphlaurenboys ,0.0
big sister is now poor #fyp #tiktokph #uniqlo #siblings #fypシ #xyzbca,0.0
Zara wtf are these girl? #zarafail #itcostthatmuch #adayinmylife #zarahaul #realistictryon,-1.0
college essentials  #collegeessentials #whattopackforcollege #whattobringtoyourdorm #universityessentials #mensessentials #cologneforschool #collegepackinglist #menslifestyle #menlifestyle #uniqlo  #hawthornepartner ,1.0
run dont walk honestly do you want me to try these on??#foryoupage #fyp #zara #jeans ,1.0
Real (the most suicidal place there is)#real#foryoupage #fyp #viral #xyzbca #primark#1000yardstare ,-1.0
Reply to @mshaileytoyou  #ralphlauren,0.0
Its a no from me #penneys #ritaora #ritaoraedits #primarkhaul #primarkfail #primarkritaora ,-1.0
"I will NOT be shopping at SHEIN, black trauma is NOT FOR PROFIT boost this  #shein  #boycottshein  #racist #blm #accountablity  #boostthis",-1.0
Please do not buy and support shein!!! #antisemitism #shein #boycottshein,-1.0
Bored at work=Look at ways to spend money on clothes #uniqlo #lululemon #hm #fashion #mensfashion #winterishere ,1.0
Y’all gotta check out the Dragon Ball x UT collection #UNIQLO #WITHUT #UniqloUT #DragonBallUT #DragonBall,0.0
this is your sign to make custom tote bags with your boo or bestie ##thingstodoinnyc##dateideas##nyc##soho##uniqlo##utme,1.0
WTF @shein_official? Totally deceptive! #shein #sheinfail #popit #fidgettoys,-1.0
must haves @Primark #fyp #foryoupage #primark #primarkhaul #seamlessleggings #primarkseamlesscollection #primarknewin #primarkfinds #outfitinspo ,1.0
New in 2024  @ZARA #ss24 #zara #newin #shopwithme #suzanna17x #outfitideas #zara2024 ,0.0
Obsessed with the tank top! #fashion #primark #fashiontiktok #fyp #blowup,1.0
Come get your revolution products guys concelaers for 3£ the watermelon dew drops are something else !!!! #collab #primark #liverpool #viral #foryourpage #revolution @Revolution Skin & Hair @Primark uk ,1.0
the Primark Barbie collection is sooo cuteee!! . . . #skincareproducts #primark #barbiegirl  #beautyproducts #givemecosmetics #primarkhaul #productsyouneed  Primark shopping Primark haul Barbie girl Beauty products Primark beauty,1.0
Big fail in Primark today  #grwmuk #revealed #pjtransition #transitionidea #mumlifeuk #morninglife #primarkfinds #notgiving #novibes #grannyclothes  #shoppingfail #livinglife #retailtherapy #fridayblues #incoming #mylifemychoices #primarkfail #dissapointed ,-1.0
#DisneyPlusVoices This dress is lingerie and it’s very stretchy and it does fit #postergirldress #dupe #shein #sheinhaul,1.0
its so preppy… #preppy #itssopreppyinhere #whitepeople #whitegirl #fyp #foryoupage #lululemon #fypシ ,1.0
Uniqlo for the winnnn  #gorpcore #arcteryx #gorpcorefashion #uniqlo,1.0
More Cadi fun  #pilates #pilatesinstructor #lasvegas #healthyliving #fullbodyworkout #coreworkout #foryou #tiktok #balancedbody #cadillacpilates #pilatesprincess #reformerpilates #girlytok #girly #lululemon ,1.0
Replying to @Vincent Huynh Ralph Lauren>>> #ralph #lauren #ralphlauren #polo #fyp #foryou #foryoupage #fashio #fashion #fashiontiktok #fashioninspo #fashionweek #fashiontok,1.0
Ok la people do I also do la #zhongxina #johncena #youcantseeme #singapore #uniqlo,0.0
Primark curler tutorial #foryoupage #curlyhairtutorial #curlyhair #primark #fypシ #viral ,0.0
Game over  Follow for More #ralphlauren #outfitoftheday #OOTD #dripcheck #outfitsoftheweek ,0.0
this is not platos this is a real thrift!! i have sm tips posted on how to find lulu!! #thrift #thriftstore #thrifted #lululemon #thriftedlululemon #haul #thrifthaul #thriftstorefinds ,1.0
Guess which jacket mine is #northface #kathmandu #uniqlo #winterishere #pufferjacket,0.0
I love it #thrifting #fashion #thrift #lululemon #prada #converse #nike,1.0
i have so many more but god these are funny  #foryou #shein #sheinreview #shopping #fyp #wtaf #poop #fartballs,1.0
i love friends!! @prettylittlething #prettylittlething #friends #CurlsCheck #WhatIdWear #SafeguardSplash #PlantLover #fyp,1.0
Omggggg #hm #hmhaul #handm #zara #shopping,1.0
Enjoy my Shein fail  #shein #sheinfail #clotheshaul #teacher ,-1.0
❤️ wonderful commercial with #anguscloud and #gigihadid for #ralphlauren #euphoria #fezco ,1.0
everywhere has such good stuff right now omg  #fashiontiktok #outfitinspo #summerinspo #fashion #haul #summerhaul #summerfashion #fashionhaul #zara #stradivarius #pullandbear #bershka #urbanoutfitters ,1.0
Shein fail #shein #sheinfail #thisiswhatiwantedandthisiswhatigot #IFeelWeightless #ChipsGotTalent #summerfit #sheinhaul #shoppingfail #beach,-1.0
I no longer shop in zara what is this ?! I am a size 12 1st one is a xl - hands up if you been there ‍♀️  #zarafail #tryon #zara #size12fashion  #fashionhacks #fyp #fy #badfashion ,-1.0
First look at the upcoming Chainsaw Man x Uniqlo collab!  #csm #chainsawman #denji #power #makima #aki #uniqlo #uniqlocollab #anime #manga #csm  ,0.0
Zara who the heck is responsible for designing your tops? I have soooo many questions. Part of me wants @Remi Jo to try these in for shits & giggles but I don’t think it’s worth it due to your lack of effort. #zara #zaraoutfit #zarafail #zarafashion #zaratop #zaratops ,-1.0
where is the money coming from??#tweens #middleschoolersbelike #lululemon #shopping #sephora #stanleycup #meangirls #comedy #satire #greenscreen ,0.0
Full face of @Primark makeup!!!! #primark #primarkmakeup #makeupdupes ,1.0
Did i pass the unsuspicious check? Model scouting at the Chris Brown concert! Did we scout you? Comment below! #modelscouting #chrisbrownconcert #chrisbrown #model #pltmodel #scoutme #prettylittlething ,0.0
@prettylittlething  x KAPPA is now live! Top: CND8740 Joggers: CND8736 #prettylittlething #plt #plthaul #pltxkappa AD  ,0.0
seocnd one isnt usually my style but i love jt sm  #primark #primarkhaul #primarktryon #primarkawtryon ,1.0
the disappointment was great… #zara #zarafinds #zarafail #zaraaddict #notgiving #munich ,-1.0
Ralph Lauren #fy #fyp #foryou #foryoupage #adidas #adidastracksuit #nike #niketech #ralphlauren #tracksuit #best ,0.0
I hate it when this happens… #zarahaul #zara #funny ,-1.0
HOW does this happen? @ZARA  WTF is this?! #zarafail #zara         #FindYourEdge,-1.0
 that’s it I’m not going! #prettylittlething #dress #sad #sendhelp,-1.0
Calle it pity but am I wrong?   #lululemon #fixit #lululemonfail #payitback #luludefinejacket #givememymoneyback #lululemonhaul #lululemoncheck #fail #viral #trending #bodypositivity #burnsurvivor ,-1.0
this is cute #fyp #foryou #trends #viral #girls #shopping #primark #uk ,1.0
Not exactly my idea of supporting small businesses… #perth #perthsmallbusiness #smallbusinessaustralia #australiansmallbusiness #boycottshein #sheinhaul #smallbusinessowner #smallbusinessreality ,-1.0
Cause i didnt  #bigjazz2live #foryou #plussize #plussizeedition  #fypシ  #biggirltok #shein outfit from: @SHEIN ,0.0
Another #zarasale #croptop that I have to return. Love the back detail but don’t buy if you have a larger chest. Just doesn’t fit right.  but I sure do love the pink pants  #pinkpants #zarajeans #zarahaul #backlesstop #zarafails #zarafail,-1.0
Worst haul ever  #ROMWEGetGraphic #failure #sheinhaul #bathingsuithaul #swimwearhaul #sheinfail #PonderWithZion,-1.0
Finally… a real Ralph Lauren boy outfit #fashiontok #fashiontiktok #ralphlauren #fashionhistory #secondhandfashion #mensfashion #grwm #oldmoneyaesthetic #vintagefashion #preppyaesthetic #preppy ,1.0
$120 vs $15 uhhhh yah :) #lululemondupe #lulu #dupes #samsclub #nogatekeeping #lululemon,1.0
Oldmoney aesthetic >>> #oldmoney #oldmoneyaesthetic #oldmoneyboys #rich #ralphlauren #boys #lifestyle #rich,1.0
Plt sort ur shit out  #fyp #plt #dress #prettylittlething #foryou #foryoupage,-1.0
Some of my christmas gifts @Kylie Cosmetics @louisvuitton @Dior #christmashaul #christmashaul2022 #haul #greatful #christmasgifts #whatigotforchristmas #christmastiktok #pinkpresents #pinkchristmas #christmashaul #christmas #marcjacobstote #essentials #katespade #victoriassecret #whitefox #prettylittlething @White Fox Boutique @prettylittlething @SKIMS #skims ,1.0
Holiday haul ❤️✈️ Pt:1 #prettylittlething #h&m #zara #ohpolly ,1.0
What people think Ralph Lauren is vs What it really is  #menswear #ralphlauren #mensfashion  Credit: studnioo,0.0
The shoes are the absolute WORST  #sheinfail #haulfail #clothingfail #fail #fyp #foryoupage : @Mia,-1.0
Zara is pumping out cheaply made clothing faster than ever. #zara #zarahaul #zaraoutfit #boycottfastfasion #boycottzara #ethicalbrands #brandreview #sustainablefashion,-1.0
little black dress… w some bloopers  #shein #sameoutfitdifferentsize #onlinevsreality #sisters #fypシ ,0.0
THE LAST ONE HELP #fyp #fypシ #foryou #foryoupage #shein,-1.0
#fyp #thrift #stussy #nike #ralphlauren #uniqlo #polo #ukayfinds ,0.0
this came up in my memories n sparked some curiosity again ... #coming2america ￼#fyp #shein,0.0
"store open, link in bio! #moodboard #porsche #aesthetic #hermes #pinterest #cartier #ralphlauren #giorgioarchives #luxury #jewelry #bvlgari ",0.0
They are so awful  #shein,-1.0
THE LAST ONEEE  at least im donating them soon  #fyp #downtowngirl #summeroutfits #vanillagirl #styletok #cleangirl #uo #itgirl #thatgirl2023 #howtobeitgirl #2022fall #urbanoutfitters #basicaussiegirl #preppy #aussiegirl #phase #iamjustaphase #trackpants #downtownaesthetic #y2k #grunge #fairygrunge #itgirl #itgirloutfits #thatgirlinspo #fashiontrend #microinfluencer #brandymelville #fashion #clothes #outfitinspo #jorts #ootd #elenagilbert #pinterest #rorygilmore #taylorswift #acubi #emmiol #yesstyle #shein #rockstargf #foryoupage #lgbt️‍ #streetwear #coquette #thrift #handm #hm #springoutfits #y2koutfits #relatable #floptok #viral,0.0
When should we drop??  #animeclothing #jujutsukaisen #fyp #uniqlo ,0.0
This lulu jacket is DEFINITELY worth it #lululemondefinejacket #pinkdefinejacket #ballerinacore #couquettecore #lululemon (also yes it DOES zip over my blubes i just wouldn’t wear it that way) ,1.0
[UNIQLO DOWN SNAP × Tsubasa Flyaway ]   #pr #UNIQLO #streetphotography #streetphotographer #ストリートスナップ #ストリートフォトグラファー #ストリートフォトグラフィー #UNIQLODOWNSNAP   すべての動画は「UNIQLO DOWN SNAP」で検索,0.0
Shein haul part 5 #fyp #xyzbca #shein #sheinhaul #sheinoutfits #ootd #fashion #shein_official #viral,0.0
Unpacking and snuggling up in my new Ralph Lauren teddy bear PJ – feeling cozy and cute! ✨ #TeddyBearPJs #RalphLauren #CozyVibes #ralphlauren #ralphlaurenaesthetic #ralphlaurenpis #pyjama #fy #fyp #foryou #foryoupage #fypage,1.0
This is honestly so scary tho #slowfashion #nofastfashion #boycottshein #leadpoisoning #jewelry #handmade #smallbusiness #womanownedbusiness #upcycled #dont #fyp,-1.0
#greenscreen ZARA PLEASS OMG this was my last straw #fyp #zara #zarafail,-1.0
Ralph Lauren  #ralphlauren #oldmoney #lifestyle #richlife #oldmoneylifestyle #fy #foryou #fyp #parati ,0.0
got our customised tshirt ❤️ @naemchuckle #fypdongggggggg #fypシ #uniqlo @uniqlo_malaysia,1.0
The best brand ever #oldmoney #oldmoneyoutfits #fyp #tipsoutfit #outfitinspo #oldmoneyaesthetic #ralphlauren ,1.0
I think I just lost my money… #autumnfashion #aesthetic #fashiontiktok #musthave #oldmoney #ralphlauren #jumper #stockunion ,-1.0
shein hail fail… i got sent a moudly item  im terrifed I shouldve put gloves on. i was so excited to put my jewellery on display too :(  #shein #sheinhaul #sheinfail #mould #fashion #makeup #sheglam #makeupbrushes #skincare #bodyglitter ,-1.0
